year,month,ridership
2019,January,1920000
2019,February,1730000
2019,March,1970000
2019,April,1720000
2019,May,1690000
2019,June,1770000
2019,July,1600000
2019,August,1440000
2019,September,2160000
2019,October,2140000
2019,November,2190000
2019,December,1630000
2020,January,1360000
2020,February,1810000
2020,March,1300000
2020,April,590000
2020,May,700000
2020,June,720000
2020,July,770000
2020,August,790000
2020,September,880000
2020,October,900000
2020,November,840000
2020,December,740000
2021,January,560000
2021,February,570000
2021,March,800000
2021,April,620000
2021,May,600000
2021,June,700000
2021,July,760000
2021,August,790000
2021,September,1070000
2021,October,1110000
2021,November,1170000
2021,December,990000
2022,January,810000
2022,February,980000
2022,March,1430000
2022,April,1340000
2022,May,1450000
2022,June,1440000
2022,July,1340000
2022,August,1330000
2022,September,2000000
2022,October,1970000
2022,November,2060000
2022,December,1630000
2023,January,2100000
2023,February,1820000
2023,March,2190000
2023,April,2020000
2023,May,1700000
2023,June,2050000
2023,July,1890000
2023,August,1930000
2023,September,2890000
2023,October,2770000
2023,November,2780000
2023,December,2240000
2024,January,2420000
2024,February,2350000
2024,March,2460000
2024,April,2210000
2024,May,2220000
2024,June,2040000
2024,July,1920000
2024,August,1780000
2024,September,2360000
2024,October,2350000
2024,November,2320000
2024,December,1770000
2025,January,2090000
2025,February,1760000
2025,March,2130000
2025,April,1810000
2025,May,1820000
2025,June,1750000
2025,July,1720000
2025,August,1540000
2025,September,2050000
2025,October,1960000
2025,November,1940000
2025,December,1520000